UserName,FullName,Date,Hashtags,Tweet,Likes,RTs
,,Jan 26,"7,JusticeForZainab","7 year old Zainab Ansari was brutally raped & murdered in Pakistan. These are her parents holding up her school bag & coat. May this angel be at peace & may her family receive justice. RIP Zainab.
#JusticeForZainab pic.twitter.com/Fh1rFLAliE",,
,,Jan 26,"Imran,JusticeForZainab","Imran does not have ONE but TWO ID cards states Chairman State Bank. If they dig deeper, @Shahidmasooddr might just be proven right. Imran definitely needs to be investigated regarding his links with Child Abuse Network. 
#JusticeForZainab pic.twitter.com/8RGISp3WBC",,
,,Jan 26,"There,Zainab,ZainabMurder,ZainabMurderCase,JusticeForZainab","There are thousands of young girls like #Zainab around the world that need your help and protection.
Watch this video and donate what you can to stop this from happening.
#ZainabMurder #ZainabMurderCase #JusticeForZainab https://twitter.com/Alhamdhulillaah/status/873729825399242752 …",,
,,Jan 26,"Dr,JusticeForZainab,ZainabMurderCase,DunyaNews","Dr Shahid Masood's allegations have defamed our country all over the world, Malik Ahmad Khan tells @AajKamranKhan 
#JusticeForZainab #ZainabMurderCase 
#DunyaNews live: http://bit.ly/1vVMwYA pic.twitter.com/2PqAKuT8SP",,
,,Jan 26,"Dr,ZainabMurderCase,,JusticeForZainab,DunyaNews","Dr Shahid Masood has attempted to detract the investigations of #ZainabMurderCase, says Punjab govt spokesperson Malik Ahmad Khan to @AajKamranKhan 
#JusticeForZainab
#DunyaNews live: http://bit.ly/1vVMwYA pic.twitter.com/IAUk8UJLnF",,
,,Jan 26,"Had,JusticeForZainab","Had they faced what we have been through, they wouldn't have clapped: Zainab's Mother
http://videos.arynews.tv/faced-wouldnt-clapped-zainabs-mother/ …
#JusticeForZainab @AdilabbasiArypic.twitter.com/WRr1LyhyBE",,
,,Jan 26,"""It,JusticeForZainab,stopchildabuse","""It always seems impossible until its done."" NELSON MANDELA. PROTEST SPEAKUP! MEDIA IS KING! We love r children n our country FIXIT! #JusticeForZainab #stopchildabuse @NJLahori @fifiharoon @Maheenkhanpk @dawn_com @etribune @sherryrehman @TheMahiraKhan @TheAyeshaOmar @GibranNasirpic.twitter.com/I5OODgniaH",,
,,Jan 26,"All,PuppetMedia,DrShahidMasood,SupportDrShahidMasood,ZainabMurderCase,SupremeCourt,JusticeForZainab,BreakingNews,JusticeForAsmahttps://twitter.com/mussatariq/status/956911315460771840",All paid dogs  of media are barking on @Shahidmasooddr. We appeal to Supreme-court that please make a joint investigation team for this matter. #PuppetMedia #DrShahidMasood #SupportDrShahidMasood #ZainabMurderCase #SupremeCourt #JusticeForZainab #BreakingNews #JusticeForAsmahttps://twitter.com/mussatariq/status/956911315460771840 …,,
,,Jan 25,"We,publichanging,JusticeForZainab,priorities","We don’t want our children watching commercials for birth control, but are fine with hangings being televised and bodies hanging in public squares. #publichanging #JusticeForZainab #priorities",,
,,Jan 25,"Any,JusticeForZainab","Any journalist, politician or g official trying to deflect indications of Imran being a pawn of influentials engaged in black marketing child pornography should be held suspect & investigated. If big guns involved there is big money being spent to cover up. #JusticeForZainab",,
,,Jan 25,"Picture,JusticeForZainab",Picture speaking itself. Zainab’s parents holding her uniform and bag. #JusticeForZainab pic.twitter.com/Na5dqR0uet,,
,,Jan 25,"@Shahidmasooddr,JusticeForZainab","@Shahidmasooddr Sahib increase your personal security please. Pak needs you!! This Rana guy has openly given you a death threat live on TV. “Tuhara The End hojai ga” - where is Police, where is SC, where is Pemra?? #JusticeForZainab",,
,,Jan 25,"Zainab,ZainabMurderCase,JusticeForZainab","Zainab murder suspect patronised by most important personality and a minister!!!
The Suspect is not ""mentally challenged or simpleminded"",but rather a ""member of an international ring"".He has 37 foreign currency bank accounts.Dr Shahid Masood
#ZainabMurderCase 
#JusticeForZainab pic.twitter.com/YQMu4RATCF",,
,,Jan 25,"According,ZainabMurderCase,JusticeForZainab","According to the sources, Imran Ali is a member of international MAFIA group of CHILD PORNOGRAPHY. And these Mafia groups sell videos on DARK WEB, a site used for smuggling and other bad stuff. And they are saying, Imran is mad.. Seriously? 
#ZainabMurderCase #JusticeForZainab pic.twitter.com/9XZDdtRjhJ",,
,,Jan 25,"Some,JusticeForZainab","Some images leave you speechless. This is one of them.. 
#JusticeForZainab pic.twitter.com/KTLNjkZtij",,
,,Jan 25,"#JusticeForZainab,Zainab,HangZainabRapistPubliclypic.twitter.com/M8m2YKAJ0i","#JusticeForZainab 
is it possible? to make 162 bank accounts in different banks , with only one man NIC card , #Zainab case in now being complicated, who will solve all this , 
#HangZainabRapistPubliclypic.twitter.com/M8m2YKAJ0i",,
,,Jan 25,"Thank,JusticeForZainab",Thank you @Shahidmasooddr for your efforts to bring #JusticeForZainab !! All of the hidden political supports must be exposed too! You should expose them all. https://twitter.com/newsonepk/status/956433759942955008 …,,
,,Jan 25,"This,JusticeForZainab",This notification was issued immediately by @CMShehbaz after knowing about the details regarding multiple bank accounts  of Imran. #JusticeForZainab pic.twitter.com/ZCqViLljTd,,
,,Jan 25,"IMPORTANT:,JusticeForZainab","IMPORTANT:
Two more officials  have been added to already established JIT by  @CMShehbaz to conduct and finalize investigation into alleged bank accounts of the arrested accused Imran. Attached is the notification copy after which the investigation will begin. #JusticeForZainab pic.twitter.com/j3pmOEueFG",,
,,Jan 25,"Police,JusticeForZainab","Police in Pakistan have arrested a suspect in the murder of 7-year-old Zainab Ansari.
Some are already calling for alleged perpetrator to be ""publicly hanged"" #JusticeForZainab pic.twitter.com/aMirm24jBU",,
,,Jan 24,"#Islamabad:,Pakistan,,Imran,JusticeForEveryChild,JusticeForZainab,Kasur,ZainabMurderCasepic.twitter.com/rYsqXooDA5","#Islamabad: Dr. Shahid Masood reached Supreme Court of #Pakistan, says I have proofs, Suspect #Imran is involved in ""VCP""
#JusticeForEveryChild #JusticeForZainab #Kasur #ZainabMurderCasepic.twitter.com/rYsqXooDA5",,
,,Jan 24,"Well,JusticeForZainab",Well done @Shahidmasooddr for last night program and taking the matter to the court as promised. Let's hope this group is fully exposed and all involved are punished. #JusticeForZainab,,
,,Jan 24,"Punishment,JusticeForZainab,Shariah","Punishment to the paedophile in case of #JusticeForZainab according to Islamic Shariah (Jurisprudence) is talk of the town. There are 5 fundamentals of Islamic #Shariah explained as follows: 
1- Preservance of Faith, 
Protection of:
2- Life,
3- Wealth, 
4- Esteem and 
5- Identity",,
,,Jan 24,"What,JusticeForZainab,ZainabMurderCase,KharaSach","What is the process behind testing DNA?!
#JusticeForZainab 
#ZainabMurderCase 
Watch #KharaSach with @mubasherlucman 
Full: http://youtu.be/R7JKOABn7JY pic.twitter.com/GJXdDMLvv3",,
,,Jan 24,"Imran,Zainab,Kasur,,KasurChildAbuse,JusticeForZainab","Imran Ali Naqshbandi, the man arrested for raping & murdering eight-year-old #Zainab and other children in #Kasur, at a mehfil-e-naat... #KasurChildAbuse #JusticeForZainab pic.twitter.com/5m4enuSUfb",,
