,head,topic_rep
387,Blood money: eerie parallels between fact and fiction,0.0
388,Story of a spy,0.0
389,United States of sadness,0.028895337134599686
390,10 killed as passenger bus collides with tractor-trolley in Layyah,0.0
391,5 videogames you should be playing right now,0.017866509035229683
392,Hanan Sameed will star in upcoming movie Ishq Wala Love,0.0
393,31.17% of our female readers are overweight. Here's what else our fitness survey revealed,0.02984531782567501
394,Nawaz leaves for a two-day visit to Tajikistan,0.06386992335319519
395,Foreign cancer experts to treat Nobel Laureate Liu Xiaobo in China,0.0
396,Troubled Chinese tech giant LeEco confirms assets frozen,0.35294845700263977
397,"
",0.09436285495758057
398,"Emirates, Turkish Airlines say US has lifted laptop ban",0.14962325990200043
399,"Monsoon floods kill 20, leave thousands homeless in India",0.0
400,"I'm in favour of female-centric films, says Nawazuddin Siddiqui",0.012194827198982239
401,Satire: Diary of Maryam Nawaz,0.11791207641363144
402,Rohingya man stoned to death in Myanmar Buddhist mob attack,0.0
403,US soldier killed in Afghanistan’s Helmand,0.0
404,"Qatar boycott to continue, no new sanctions",0.0
405,"Saudi funding extremism in UK, says report",0.06107638031244278
406,Second-string Australia prove too tough for Pakistan in WWC-17,0.0
407,India seek to bounce back in series-deciding clash against WI,0.013807244598865509
408,Comment: Plenty to prove for South Africa,0.0
409,Sindh’s ‘master plan’ saves Makli from being put on ‘endangered’ sites list,0.06743400543928146
410,Messi to extend Barca contract till 2021,0.0
411,Police officer again escapes from court after bail rejection,0.04188432916998863
412,Journalist Taha Siddiqui's case shifted to cybercrime circle,0.0
413,MQM lawmaker withdraws bail plea in Baldia factory fire case,0.0
414,Disqualified MPA faces action for concealing dual nationality,0.0
415,Woman axed  to death over land dispute,0.0
416,Foreign firm to make customised number plates for vehicles in Punjab,0.16664031147956848
417,Sharifs ‘ensnared’ in contradictory statements,0.0
418,Bahawalpur tanker blaze toll rises to 214,0.0
419,"Rapist, killer of minor hanged in Gujranwala",0.0
420,Unimpressive show of support for Maryam Nawaz at FJA,0.0
421,England look to start new era under Root,0.0
422,Murad pledges legislation to strengthen ACE,0.06147897243499756
423,"PSO seeks 905,000 tonnes of oil products for Sept",0.7544698119163513
424,"Construction of 4,320MW Dasu dam to begin shortly",0.7212367653846741
425,Cotton price steady on strong demand,0.8924891948699951
426,‘Nuclear tests have severe repercussions for human health’,0.08833891898393631
427,Pakistan condemns harassment of Kashmiri leader's relatives by Indian authorities,0.0
428,Maryam slams ‘hidden hands’ behind probe,0.0
429,85pc of oil tankers don’t meet standards: Ogra,0.5019999742507935
430,Accord with Tajikistan on enhancing connectivity,0.1615464687347412
431,"AG Ausaf to lead Pakistani team in Jadhav case, world court told",0.0
432,Zardari vows to continue struggle for democracy,0.02933145873248577
433,Harassment of Kashmiri leader’s relatives condemned,0.0
434,ECP to hear disqualification reference against Imran today,0.0
435,Trump and EU offer starkly different trade visions at G-20,0.4035947024822235
436,McCain’s warning reflects changing mood in Washington towards Pakistan,0.0
437,"Coordination needed with India, Afghanistan to mitigate flood threat",0.5640772581100464
438,Journalist Zafar Achakzai released on bail,0.0
439,Situationer: Manpower woes deny justice to Balochistan litigants,0.173774853348732
440,Rupee falls sharply against dollar,0.5635008215904236
441,SBP acquires Security Printing Corporation,0.4801108241081238
442,"Pakistan, China agree to adopt uniform commercial codes",0.12150803208351135
443,Current account deficit revised up by $1.7bn,0.9087730050086975
444,Energy giants court Qatar for gas expansion role,0.499216228723526
445,Record volume of cargo handled at Karachi Port,0.9725618958473206
446,Parliamentary panel declares Sindh Assembly bill ‘unconstitutional’,0.0
447,Policy for protection of transgender persons demanded,0.013472847640514374
448,Builders wary as cement prices continue rise,0.9224596619606018
449,Peshawar among districts most vulnerable to  monsoon floods,0.35037535429000854
450,The Punjab Nahi Jaungi trailer: what worked and what didn't,0.03018827736377716
451,IG Sindh promises improvements in policing system,0.2217455804347992
452,Six members of a family die in Muzaffarabad car accident,0.0
453,RCB seals unhygienic poultry slaughterhouse,0.062001701444387436
454,"Haqqani network operates from Afghanistan, FO insists",0.0
455,Benchmark index slides 590 points,0.0
456,Atmosphere not right for Modi-Xi meeting: Chinese official,0.0
457,Sana Fakhar will play Sonya Jehan in upcoming drama 'O Rangreza',0.01963055692613125
458,"Panamagate: Nation wants answers, not this unending drama, Imran Khan says",0.0
